0.56,-1.5636,-3.1413,-3.0533,-3.1401,0.025743,0.00059621,0.31418,0.0037249
0.57,-1.5633,-3.1413,-3.0501,-3.14,0.026225,0.00059885,0.31969,0.0037417
0.58,-1.5631,-3.1413,-3.0469,-3.14,0.026708,0.00060153,0.32519,0.0037585
0.59,-1.5628,-3.1413,-3.0436,-3.14,0.027194,0.00060424,0.33068,0.0037755
0.6,-1.5625,-3.1413,-3.0403,-3.1399,0.027683,0.00060703,0.33616,0.0037926
0.61,-1.5622,-3.1413,-3.0369,-3.1399,0.028173,0.00060991,0.34164,0.0038099
0.62,-1.562,-3.1412,-3.0334,-3.1398,0.028667,0.0006128,0.34711,0.0038274
0.63,-1.5617,-3.1412,-3.0299,-3.1398,0.029162,0.00061599,0.35257,0.0038452
0.64,-1.5614,-3.1412,-3.0264,-3.1398,0.029661,0.00061954,0.35803,0.0038633
0.65,-1.5611,-3.1412,-3.0228,-3.1397,0.030163,0.00062321,0.36347,0.0038818
0.66,-1.5608,-3.1412,-3.0191,-3.1397,0.030667,0.00062642,0.36892,0.0039005
0.67,-1.5605,-3.1412,-3.0154,-3.1396,0.031174,0.00062924,0.37435,0.0039196
0.68,-1.5601,-3.1412,-3.0116,-3.1396,0.031685,0.00063287,0.37977,0.0039391
0.69,-1.5598,-3.1412,-3.0078,-3.1396,0.032199,0.00063762,0.38519,0.0039592
0.7,-1.5595,-3.1412,-3.0039,-3.1395,0.032717,0.00064275,0.3906,0.0039798
0.71,-1.5592,-3.1412,-3,-3.1395,0.033237,0.00064659,0.396,0.0040007
0.72,-1.5588,-3.1412,-2.996,-3.1394,0.033761,0.00064981,0.4014,0.004022
0.73,-1.5585,-3.1412,-2.992,-3.1394,0.034289,0.00065417,0.40678,0.0040439
0.74,-1.5581,-3.1412,-2.9879,-3.1394,0.034821,0.00065967,0.41216,0.0040666
0.75,-1.5578,-3.1412,-2.9837,-3.1393,0.035356,0.00066465,0.41752,0.0040897
0.76,-1.5574,-3.1412,-2.9795,-3.1393,0.035896,0.00066889,0.42288,0.0041134
0.77,-1.5571,-3.1411,-2.9753,-3.1392,0.036439,0.00067376,0.42823,0.0041377
0.78,-1.5567,-3.1411,-2.971,-3.1392,0.036987,0.00067918,0.43357,0.0041627
0.79,-1.5563,-3.1411,-2.9666,-3.1392,0.03754,0.00068432,0.4389,0.0041883
0.8,-1.556,-3.1411,-2.9622,-3.1391,0.038096,0.00068951,0.44422,0.0042146
0.81,-1.5556,-3.1411,-2.9577,-3.1391,0.038658,0.00069517,0.44953,0.0042417
0.82,-1.5552,-3.1411,-2.9532,-3.139,0.039224,0.00070112,0.45483,0.0042695
0.83,-1.5548,-3.1411,-2.9486,-3.139,0.039795,0.00070678,0.46012,0.0042979
0.84,-1.5544,-3.1411,-2.944,-3.1389,0.040371,0.00071253,0.4654,0.0043271
0.85,-1.554,-3.1411,-2.9393,-3.1389,0.040952,0.00071888,0.47067,0.0043572
0.86,-1.5536,-3.1411,-2.9346,-3.1389,0.041538,0.00072566,0.47593,0.004388
0.87,-1.5532,-3.1411,-2.9298,-3.1388,0.04213,0.00073211,0.48118,0.0044197
0.88,-1.5527,-3.1411,-2.9249,-3.1388,0.042726,0.00073824,0.48642,0.004452
0.89,-1.5523,-3.1411,-2.9201,-3.1387,0.043329,0.00074501,0.49165,0.0044853
0.9,-1.5519,-3.1411,-2.9151,-3.1387,0.043938,0.00075255,0.49687,0.0045195
0.91,-1.5514,-3.141,-2.9101,-3.1386,0.044552,0.00076007,0.50207,0.0045546
0.92,-1.551,-3.141,-2.9051,-3.1386,0.045172,0.00076685,0.50727,0.0045904
0.93,-1.5505,-3.141,-2.9,-3.1385,0.045799,0.00077404,0.51245,0.0046272
0.94,-1.5501,-3.141,-2.8948,-3.1385,0.046432,0.00078206,0.51762,0.0046649
0.95,-1.5496,-3.141,-2.8896,-3.1385,0.047071,0.00079031,0.52278,0.0047036
0.96,-1.5491,-3.141,-2.8844,-3.1384,0.047716,0.0007979,0.52793,0.0047431
0.97,-1.5486,-3.141,-2.8791,-3.1384,0.048369,0.00080578,0.53306,0.0047835
0.98,-1.5481,-3.141,-2.8737,-3.1383,0.049028,0.00081434,0.53819,0.004825
0.99,-1.5477,-3.141,-2.8683,-3.1383,0.049694,0.00082316,0.5433,0.0048675
1,-1.5472,-3.141,-2.8628,-3.1382,0.050367,0.00083149,0.5484,0.0049108
1.01,-1.5466,-3.141,-2.8573,-3.1382,0.051048,0.00084006,0.55348,0.0049551
1.02,-1.5461,-3.141,-2.8518,-3.1381,0.051736,0.00084929,0.55856,0.0050005
1.03,-1.5456,-3.141,-2.8462,-3.1381,0.052431,0.0008588,0.56362,0.0050469
1.04,-1.5451,-3.1409,-2.8405,-3.138,0.053134,0.00086783,0.56867,0.0050943
1.05,-1.5446,-3.1409,-2.8348,-3.138,0.053845,0.00087702,0.5737,0.0051426
1.06,-1.544,-3.1409,-2.829,-3.1379,0.054563,0.00088689,0.57872,0.005192
1.07,-1.5435,-3.1409,-2.8232,-3.1379,0.05529,0.00089718,0.58373,0.0052425
1.08,-1.5429,-3.1409,-2.8173,-3.1378,0.056025,0.00090697,0.58873,0.0052939
1.09,-1.5423,-3.1409,-2.8114,-3.1378,0.056768,0.00091673,0.59371,0.0053464
1.1,-1.5418,-3.1409,-2.8055,-3.1377,0.057519,0.00092717,0.59868,0.0053999
1.11,-1.5412,-3.1409,-2.7995,-3.1376,0.058279,0.00093816,0.60363,0.0054545
1.12,-1.5406,-3.1409,-2.7934,-3.1376,0.059048,0.00094877,0.60857,0.0055102
1.13,-1.54,-3.1409,-2.7873,-3.1375,0.059826,0.00095914,0.6135,0.0055668
1.14,-1.5394,-3.1409,-2.7811,-3.1375,0.060612,0.00097013,0.61841,0.0056245
1.15,-1.5388,-3.1408,-2.7749,-3.1374,0.061408,0.00098172,0.62331,0.0056833
1.16,-1.5382,-3.1408,-2.7687,-3.1374,0.062213,0.0009931,0.6282,0.0057431
1.17,-1.5376,-3.1408,-2.7624,-3.1373,0.063027,0.0010041,0.63307,0.0058039
1.18,-1.5369,-3.1408,-2.756,-3.1372,0.06385,0.0010157,0.63793,0.0058658
1.19,-1.5363,-3.1408,-2.7496,-3.1372,0.064683,0.0010278,0.64277,0.0059288
1.2,-1.5356,-3.1408,-2.7431,-3.1371,0.065526,0.0010399,0.6476,0.0059928
1.21,-1.535,-3.1408,-2.7366,-3.1371,0.066379,0.0010516,0.65241,0.0060578
1.22,-1.5343,-3.1408,-2.7301,-3.137,0.067241,0.0010637,0.65721,0.0061239
1.23,-1.5336,-3.1408,-2.7235,-3.1369,0.068114,0.0010764,0.66199,0.0061911
